,model,dataset,exp,acc,f1,recall,precision,time
63,kan,MixedShapesSmallTrain,0,0.75,0.7412087912087912,0.75,0.8071428571428572,167.67556023597717
64,kan,NonInvasiveFetalECGThorax1,0,0.8694445,0.8676609698228748,0.8694444444444445,0.8832071208112874,223.22323298454285
65,kan,NonInvasiveFetalECGThorax2,0,0.9111111,0.9110825958339568,0.9111111111111112,0.9220763110346444,231.7615430355072
66,kan,OliveOil,0,0.5,0.4333333333333333,0.5,0.3888888888888888,100.4585542678833
67,kan,OSULeaf,0,0.5,0.4960497835497836,0.5,0.6052696078431372,96.96233367919922
68,kan,PhalangesOutlinesCorrect,0,0.8,0.799556821779044,0.8,0.7991661955907293,93.63321328163148
69,kan,MoteStrain,0,1.0,1.0,1.0,1.0,16.47839617729187
70,kan,Phoneme,0,0.093023255,0.0833333333333333,0.0930232558139534,0.1007751937984496,42.24496722221375
71,kan,PowerCons,0,0.9166667,0.9160493827160492,0.9166666666666666,0.9169453734671126,21.34754228591919
72,kan,ProximalPhalanxOutlineCorrect,0,0.8166667,0.8155208333333334,0.8166666666666667,0.8148622981956315,39.02716183662415
73,kan,ProximalPhalanxOutlineAgeGroup,0,0.825,0.8232104916593503,0.825,0.8288825757575757,32.46475100517273
74,kan,ProximalPhalanxTW,0,0.825,0.8199974095053882,0.825,0.8228365384615385,31.027161598205566
75,kan,RefrigerationDevices,0,0.34666666,0.336919454440446,0.3466666666666667,0.3388215808062355,95.74795770645142
76,kan,Rock,0,0.25,0.3333333333333333,0.25,0.5,131.34935450553894
77,kan,ScreenType,0,0.32,0.32,0.32,0.3219753086419752,76.13045120239258
78,kan,SemgHandGenderCh2,0,0.9333334,0.9332591768631812,0.9333333333333332,0.9352678571428572,107.61873316764832
79,kan,SemgHandMovementCh2,0,0.46666667,0.4655793734225106,0.4666666666666667,0.4727394863669373,201.3790295124054
80,kan,SemgHandSubjectCh2,0,0.8777778,0.8774842674527962,0.8777777777777778,0.8793741570702355,147.60563039779663
81,kan,ShapeletSim,0,0.0,0.0,0.0,0.0,59.05845189094544
82,kan,ShapesAll,0,0.53333336,0.531739417989418,0.5333333333333333,0.6306944444444444,88.42611050605774
83,kan,SmallKitchenAppliances,0,0.4,0.4010704155876187,0.4,0.4124537731134433,68.08781218528748
84,kan,SmoothSubspace,0,0.9666667,0.9663641863278888,0.9666666666666668,0.9688888888888888,20.210887670516968
85,kan,SonyAIBORobotSurface1,0,1.0,1.0,1.0,1.0,25.11245059967041
86,kan,SonyAIBORobotSurface2,0,0.8333334,0.8285714285714286,0.8333333333333334,0.875,79.75569772720337
87,kan,StarLightCurves,0,0.91999996,0.9253656978601086,0.92,0.941439544807966,152.5388023853302
88,kan,Strawberry,0,0.9593496,0.9588550276113224,0.959349593495935,0.9618588778480376,47.31311249732971
89,kan,SwedishLeaf,0,0.78,0.7753850238243831,0.78,0.8156428571428571,35.72013330459595
90,kan,Symbols,0,0.2,0.1,0.2,0.0666666666666666,33.24265956878662
91,kan,SyntheticControl,0,0.9166667,0.9171679803373168,0.9166666666666666,0.9363636363636364,22.77169108390808
92,kan,ToeSegmentation1,0,0.625,0.6045454545454546,0.625,0.6041666666666666,26.9269962310791
93,kan,ToeSegmentation2,0,0.75,0.75,0.75,0.75,29.79704427719116
94,kan,Trace,0,0.90000004,0.9032967032967032,0.9,0.925,33.25521421432495
