model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
mlp,MiddlePhalanxOutlineCorrect,0,0.8109965635738832,0.8071141400431879,0.8109965635738832,0.8161017254097623,100,81.12081336975098
mlp,MiddlePhalanxOutlineAgeGroup,0,0.6493506493506493,0.5753129151807566,0.6493506493506493,0.7261632252639447,100,77.06834721565247
mlp,MiddlePhalanxTW,0,0.2727272727272727,0.11688311688311688,0.2727272727272727,0.07438016528925619,100,75.90246987342834
mlp,MixedShapesRegularTrain,0,0.7397938144329896,0.6820860717190207,0.7397938144329896,0.6492092690654643,100,77.9934401512146
mlp,MixedShapesSmallTrain,0,0.7414432989690721,0.7403214365736961,0.7414432989690721,0.7753300383422659,100,69.00242948532104
mlp,MoteStrain,0,0.865814696485623,0.8650651025922205,0.865814696485623,0.8678600906564021,100,63.70025849342346
mlp,NonInvasiveFetalECGThorax1,0,0.19236641221374046,0.11129277903915787,0.19236641221374046,0.09504303234439668,100,99.8907687664032
mlp,NonInvasiveFetalECGThorax2,0,0.20305343511450383,0.09741996928786639,0.20305343511450383,0.06897024883316497,100,97.76504826545715
mlp,OliveOil,0,0.4,0.22857142857142856,0.4,0.16000000000000003,100,52.62733793258667
mlp,OSULeaf,0,0.49586776859504134,0.4535280569043985,0.49586776859504134,0.446526360490279,100,53.8000910282135
mlp,PhalangesOutlinesCorrect,0,0.7657342657342657,0.7476012900438089,0.7657342657342657,0.783011098407212,100,76.47420287132263
mlp,Phoneme,0,0.09177215189873418,0.08210462573174368,0.09177215189873418,0.08776225347612286,100,57.03438925743103
