model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
fcn,ECG5000,0,0.9326666666666666,0.9280513422362114,0.9326666666666666,0.924967178690682,416,15101.561499118805
fcn,ECGFiveDays,0,0.9802555168408827,0.9802492817156943,0.9802555168408827,0.9806905564791314,975,3442.514080286026
fcn,FaceAll,0,0.7911242603550296,0.7843883629027402,0.7911242603550296,0.9098265758438697,220,18541.24975657463
fcn,FaceFour,0,0.9545454545454546,0.9551731601731602,0.9545454545454546,0.9606060606060606,1026,5353.799813747406
fcn,FacesUCR,0,0.9009756097560976,0.901494068832823,0.9009756097560976,0.9089763609785693,182,5866.679020404816
fcn,FiftyWords,0,0.5384615384615384,0.5109021225972127,0.5384615384615384,0.5313927168310576,217,16989.513582229614
fcn,Fish,0,0.9428571428571428,0.9430888749741315,0.9428571428571428,0.9441785361636293,283,7531.618394374847
fcn,FordA,0,0.9378787878787879,0.9378787878787879,0.9378787878787879,0.9378787878787879,519,223736.03347945213
fcn,FordB,0,0.7913580246913581,0.7909726653257992,0.7913580246913581,0.7929189795856462,367,99717.02066373825
fcn,FreezerRegularTrain,0,0.9982456140350877,0.9982456120911676,0.9982456140350877,0.9982478223356852,231,2609.772677898407
fcn,FreezerSmallTrain,0,0.863859649122807,0.8638553581990396,0.863859649122807,0.8639055265323693,1085,3669.7656269073486
fcn,InsectEPGRegularTrain,0,0.9959839357429718,0.9959810636380895,0.9959839357429718,0.9960176841821066,566,6668.278720617294
fcn,InsectEPGSmallTrain,0,0.9397590361445783,0.9392532377179804,0.9397590361445783,0.943144522035668,1054,5609.920508623123
fcn,InsectWingbeatSound,0,0.39444444444444443,0.3960880768499065,0.39444444444444443,0.4000912864977097,377,12129.144458532333
fcn,ItalyPowerDemand,0,0.9601554907677357,0.960146533097131,0.9601554907677357,0.9606621681671281,121,1507.462708234787
fcn,LargeKitchenAppliances,0,0.704,0.6959788121078444,0.704,0.7682387595420548,181,9876.932904481888
fcn,Lightning2,0,0.7213114754098361,0.7174632494420072,0.7213114754098361,0.7236560753273061,260,2669.931476831436
fcn,Lightning7,0,0.7671232876712328,0.7618765917251858,0.7671232876712328,0.8073059360730594,383,5096.439411640167
fcn,Mallat,0,0.9049040511727079,0.9033841116312508,0.9049040511727079,0.9182787892167001,300,3023.924513578415
fcn,Meat,0,0.3333333333333333,0.17543859649122806,0.3333333333333333,0.11904761904761905,404,4133.739367723465
fcn,MedicalImages,0,0.7644736842105263,0.7663214418303521,0.7644736842105263,0.7766325766946136,304,14975.72756433487
fcn,MiddlePhalanxOutlineCorrect,0,0.8213058419243986,0.8211203134137445,0.8213058419243986,0.8210134862762472,471,34287.46007108688
fcn,MiddlePhalanxOutlineAgeGroup,0,0.4935064935064935,0.4944231971444704,0.4935064935064935,0.4973927345232764,385,20589.340137720108
fcn,MiddlePhalanxTW,0,0.5714285714285714,0.5576308069069352,0.5714285714285714,0.5485200675947429,89,4955.705584526062
fcn,MixedShapesRegularTrain,0,0.9414432989690722,0.9413029608355732,0.9414432989690722,0.9434334689325091,149,10942.352578639984
fcn,MixedShapesSmallTrain,0,0.7109278350515464,0.6886440099890797,0.7109278350515464,0.7993697977620005,221,4429.935094594955
fcn,MoteStrain,0,0.9049520766773163,0.9050919117510751,0.9049520766773163,0.9069878539839809,1080,7826.9732530117035
fcn,NonInvasiveFetalECGThorax1,0,0.9139949109414758,0.913789255723368,0.9139949109414758,0.9177390451531112,272,74058.56595945358
fcn,NonInvasiveFetalECGThorax2,0,0.9094147582697201,0.9096792703155208,0.9094147582697201,0.92002052311052,350,84278.52531194687
fcn,OliveOil,0,0.4,0.22857142857142856,0.4,0.16000000000000003,51,263.41247606277466
fcn,OSULeaf,0,0.8057851239669421,0.7955593703991606,0.8057851239669421,0.87681031090122,149,3154.59380030632
fcn,PhalangesOutlinesCorrect,0,0.831002331002331,0.8256811419701496,0.831002331002331,0.8355564833176774,432,57854.382284641266
fcn,Phoneme,0,0.32383966244725737,0.3173830414184611,0.32383966244725737,0.3237535744237161,315,7114.646131515503
fcn,PigAirwayPressure,0,0.12980769230769232,0.10424297362556471,0.12980769230769232,0.0975545288045288,179,4802.447746038437
fcn,PigArtPressure,0,0.9375,0.9356532356532354,0.9375,0.9538461538461538,313,7827.282326221466
fcn,PigCVP,0,0.5817307692307693,0.5682081807081807,0.5817307692307693,0.6132326007326008,303,7368.371551990509
fcn,Plane,0,1.0,1.0,1.0,1.0,216,3774.576071023941
fcn,AllGestureWiimoteX,0,0.6642857142857143,0.6669538862213479,0.6642857142857143,0.6739017647842226,321,14771.957936048508
fcn,AllGestureWiimoteY,0,0.7285714285714285,0.7239420811684324,0.7285714285714285,0.7275146461966796,285,12146.877847909927
