,model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
47,fcn,HouseTwenty,0,0.9663865546218487,0.9662836563196706,0.9663865546218487,0.9667465577780407,2000,59.16478133201599
48,fcn,InlineSkate,0,0.2872727272727273,0.2194065032719813,0.2872727272727273,0.264283424584825,2000,142.54602885246277
49,fcn,InsectEPGRegularTrain,0,1.0,1.0,1.0,1.0,2000,30.462319374084476
50,fcn,InsectEPGSmallTrain,0,1.0,1.0,1.0,1.0,2000,13.58814263343811
51,fcn,InsectWingbeatSound,0,0.4080808080808081,0.4086275303876938,0.4080808080808081,0.4127368059731832,2000,59.13485145568848
52,fcn,ItalyPowerDemand,0,0.9630709426627794,0.9630678731476616,0.9630709426627794,0.9631812646023244,2000,13.203453540802002
53,fcn,LargeKitchenAppliances,0,0.9173333333333332,0.9171058393319452,0.9173333333333332,0.9172484852212962,2000,204.94971919059756
54,fcn,Lightning2,0,0.6885245901639344,0.6842236317293023,0.6885245901639344,0.6894624301309226,2000,30.66684508323669
55,fcn,Lightning7,0,0.7808219178082192,0.7833284941728896,0.7808219178082192,0.8268101761252445,2000,24.11280131340027
56,fcn,Mallat,0,0.9492537313432836,0.9482722924522844,0.9492537313432836,0.9610197180054748,2000,46.11235928535461
57,fcn,Meat,0,0.9333333333333332,0.934122934122934,0.9333333333333332,0.9444444444444444,2000,24.353641033172607
58,fcn,MedicalImages,0,0.7644736842105263,0.7403309742513917,0.7644736842105263,0.7259508121593966,2000,61.23436427116394
59,fcn,MiddlePhalanxOutlineCorrect,0,0.8075601374570447,0.8057454674492304,0.8075601374570447,0.8078129676067821,2000,101.26754665374756
60,fcn,MiddlePhalanxOutlineAgeGroup,0,0.538961038961039,0.5294425688163829,0.538961038961039,0.5242314236125954,2000,61.74358916282654
61,fcn,MiddlePhalanxTW,0,0.474025974025974,0.4639175129510479,0.474025974025974,0.4559805917644507,2000,66.79230380058289
62,fcn,MixedShapesRegularTrain,0,0.9579381443298968,0.958027832769936,0.9579381443298968,0.9584390220052328,2000,430.1486451625824
